Date,Open,High,Low,Close,Adj Close,Volume
4/30/1992,0.511161,0.537946,0.504464,0.53683,0.442322,260265600
5/1/1992,0.535714,0.542411,0.520089,0.529018,0.435885,134377600
5/4/1992,0.53125,0.546875,0.529018,0.540179,0.445082,123233600
5/5/1992,0.540179,0.541295,0.53125,0.540179,0.445082,180084800
5/6/1992,0.542411,0.554688,0.540179,0.551339,0.454277,177990400
5/7/1992,0.549107,0.555804,0.540179,0.542411,0.446921,172356800
5/8/1992,0.549107,0.561384,0.544643,0.553571,0.456116,198699200
5/11/1992,0.553571,0.560268,0.549107,0.555804,0.457956,90899200
5/12/1992,0.555804,0.5625,0.551339,0.555804,0.457956,77044800
5/13/1992,0.558036,0.564732,0.555804,0.560268,0.461634,97473600
5/14/1992,0.560268,0.5625,0.537946,0.547991,0.451518,156923200
5/15/1992,0.544643,0.546875,0.540179,0.541295,0.446001,121307200
5/18/1992,0.549107,0.549107,0.535714,0.539063,0.444162,129091200
5/19/1992,0.542411,0.542411,0.526786,0.530134,0.436805,131678400
5/20/1992,0.533482,0.537946,0.529018,0.535714,0.441403,173208000
5/21/1992,0.537946,0.537946,0.524554,0.527902,0.434966,137692800
5/22/1992,0.526786,0.533482,0.526786,0.53125,0.437724,46468800
5/26/1992,0.53125,0.533482,0.524554,0.529018,0.435885,95614400
5/27/1992,0.529018,0.537946,0.526786,0.537946,0.443242,154089600
5/28/1992,0.535714,0.537946,0.526786,0.53125,0.437724,127243200
5/29/1992,0.533482,0.541295,0.53125,0.533482,0.439564,178248000
6/1/1992,0.511161,0.53125,0.5,0.513393,0.423862,248046400
6/2/1992,0.513393,0.513393,0.502232,0.504464,0.41649,155680000
6/3/1992,0.504464,0.504464,0.482143,0.483259,0.398983,300574400
6/4/1992,0.484375,0.488839,0.477679,0.486607,0.401747,180152000
6/5/1992,0.488839,0.493304,0.484375,0.489955,0.404512,112728000
6/8/1992,0.491071,0.491071,0.482143,0.484375,0.399905,104339200
6/9/1992,0.484375,0.484375,0.477679,0.482143,0.398062,101281600
6/10/1992,0.482143,0.488839,0.477679,0.479911,0.396219,126604800
6/11/1992,0.479911,0.484375,0.477679,0.481027,0.39714,140515200
6/12/1992,0.486607,0.491071,0.484375,0.487723,0.402669,96510400
6/15/1992,0.482143,0.482143,0.46875,0.469866,0.387926,189190400
6/16/1992,0.462054,0.464286,0.435268,0.439732,0.363047,365355200
6/17/1992,0.4375,0.439732,0.419643,0.424107,0.350147,304248000
6/18/1992,0.424107,0.4375,0.399554,0.404018,0.333561,433720000
6/19/1992,0.410714,0.410714,0.390625,0.399554,0.329876,427436800
6/22/1992,0.392857,0.399554,0.381696,0.395089,0.326189,389939200
6/23/1992,0.401786,0.40625,0.397321,0.404018,0.333561,311550400
6/24/1992,0.40625,0.410714,0.404018,0.410714,0.339089,211064000
6/25/1992,0.415179,0.415179,0.404018,0.407366,0.336325,160608000
6/26/1992,0.408482,0.410714,0.397321,0.404018,0.333561,110364800
6/29/1992,0.408482,0.420759,0.404018,0.417411,0.344618,188428800
6/30/1992,0.417411,0.430804,0.415179,0.428571,0.353832,193345600
7/1/1992,0.428571,0.441964,0.426339,0.4375,0.361204,143528000
